Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2017,07,01,17.5,1,Y
IDCJAC0010,009225,2017,07,02,14.6,1,Y
IDCJAC0010,009225,2017,07,03,16.7,1,Y
IDCJAC0010,009225,2017,07,04,15.3,1,Y
IDCJAC0010,009225,2017,07,05,15.5,1,Y
IDCJAC0010,009225,2017,07,06,15.3,1,Y
IDCJAC0010,009225,2017,07,07,16.8,1,Y
IDCJAC0010,009225,2017,07,08,16.9,1,Y
IDCJAC0010,009225,2017,07,09,18.0,1,Y
IDCJAC0010,009225,2017,07,10,17.7,1,Y
IDCJAC0010,009225,2017,07,11,19.7,1,Y
IDCJAC0010,009225,2017,07,12,20.7,1,Y
IDCJAC0010,009225,2017,07,13,19.3,1,Y
IDCJAC0010,009225,2017,07,14,19.1,1,Y
IDCJAC0010,009225,2017,07,15,20.1,1,Y
IDCJAC0010,009225,2017,07,16,18.9,1,Y
IDCJAC0010,009225,2017,07,17,19.6,1,Y
IDCJAC0010,009225,2017,07,18,25.0,1,Y
IDCJAC0010,009225,2017,07,19,19.1,1,Y
IDCJAC0010,009225,2017,07,20,18.2,1,Y
IDCJAC0010,009225,2017,07,21,20.6,1,Y
IDCJAC0010,009225,2017,07,22,19.3,1,Y
IDCJAC0010,009225,2017,07,23,19.1,1,Y
IDCJAC0010,009225,2017,07,24,18.6,1,Y
IDCJAC0010,009225,2017,07,25,20.1,1,Y
IDCJAC0010,009225,2017,07,26,20.1,1,Y
IDCJAC0010,009225,2017,07,27,21.4,1,Y
IDCJAC0010,009225,2017,07,28,18.0,1,Y
IDCJAC0010,009225,2017,07,29,16.2,1,Y
IDCJAC0010,009225,2017,07,30,17.9,1,Y
IDCJAC0010,009225,2017,07,31,15.3,1,Y
IDCJAC0010,009225,2017,08,01,15.1,1,N
IDCJAC0010,009225,2017,08,02,14.8,1,N
IDCJAC0010,009225,2017,08,03,18.5,1,N
IDCJAC0010,009225,2017,08,04,15.7,1,N
IDCJAC0010,009225,2017,08,05,18.6,1,N
IDCJAC0010,009225,2017,08,06,19.7,1,N
IDCJAC0010,009225,2017,08,07,18.8,1,N
IDCJAC0010,009225,2017,08,08,18.4,1,N
IDCJAC0010,009225,2017,08,09,14.2,1,N
IDCJAC0010,009225,2017,08,10,16.7,1,N
IDCJAC0010,009225,2017,08,11,18.3,1,N
IDCJAC0010,009225,2017,08,12,20.2,1,N
IDCJAC0010,009225,2017,08,13,20.3,1,N
IDCJAC0010,009225,2017,08,14,18.4,1,N
IDCJAC0010,009225,2017,08,15,17.4,1,N
IDCJAC0010,009225,2017,08,16,16.6,1,N
IDCJAC0010,009225,2017,08,17,18.2,1,N
IDCJAC0010,009225,2017,08,18,20.7,1,N
IDCJAC0010,009225,2017,08,19,18.0,1,N
